 Timestamp,  (|0)IVC-AZ, IVC-LV, IVC-CL, (^1)V-AZ,V-LV_YTilt,V-CL_XTilt,V-LV_RawY,V-CL_RawX, (^2)W-AZ, W-LV, W-CL, (^3)TC-AZ, TC-LV, TC-CL, (^4)DsXY-AZ_VCP,DsXY-LV_VCP,DsXY-CL_VCP,DsXY-Phase_VCP, (^5)ADMC-LV,ADMC-AZ,ADMC-REL,ADMC-AGC, (^8)Heading,GPS-Longitude,,GPS-Latitude,,Modem,Tx-Mute
02-22-2014 12:46:59:040 0|0,  -0.009,  -0.158,  +0.019^1,  +0.000,  -0.142,  +0.156^2,  -0.181,  -0.056,  -0.083^3,  -0.009,  +0.311,  -0.244^4,+194.861, +40.117,  +0.019, +61.000^5, +40.117,+194.861,+163.030,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:46:58:040 0|0,  -0.040,  -0.760,  +0.006^1,  +0.000,  -0.416,  +0.169^2,  -0.181,  +0.859,  +0.405^3,  +0.025,  +0.365,  -0.092^4,+194.830, +39.516,  +0.006, +95.000^5, +39.516,+194.830,+162.964,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:46:57:040 0|0,  -0.052,  -2.558,  +0.004^1,  +0.000,  -0.718,  +0.196^2,  -0.059,  +2.201,  -0.327^3,  +0.006,  +0.656,  -0.085^4,+194.818, +37.718,  +0.004,+102.000^5, +37.718,+194.818,+162.926,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:46:56:040 0|0,  -0.118,  -5.704,  -0.019^1,  +0.000,  -0.922,  +0.194^2,  -0.181,  +3.543,  -0.327^3,  +0.152,  +0.526,  +0.002^4,+194.752, +34.572,  -0.019,+124.000^5, +34.572,+194.752,+162.860,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:46:55:040 0|0,  -1.753, -11.810,  +0.008^1,  +0.000,  -1.541,  +0.192^2,  +2.381,  +5.983,  -1.425^3,  -0.007,  +0.284,  +0.160^4,+193.118, +28.466,  +0.008, +59.000^5, +28.466,+193.118,+161.262,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:46:54:040 0|0,  -4.828, -18.695,  +0.022^1,  +0.000,  -0.230,  +0.153^2,  +2.625,  +5.312,  +0.100^3,  +1.099,  +2.500,  -1.280^4,+190.043, +21.580,  +0.022, +81.000^5, +21.580,+190.043,+158.235,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:46:53:040 0|0,  +0.066,  +0.232,  +0.001^1,  +0.000,  +0.369,  +0.149^2,  +0.002,  -1.337,  -0.327^3,  -0.178,  -0.217,  +0.030^4,+189.989, +22.056,  +0.001, +74.000^5, +22.056,+189.989,+158.065,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:46:52:040 0|0,  +0.050,  +0.392,  +0.001^1,  +0.000,  +0.517,  +0.099^2,  -0.425,  -1.886,  -0.266^3,  -0.173,  -0.182,  -0.005^4,+189.973, +23.558,  +0.001, +88.000^5, +23.558,+189.973,+158.065,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:46:51:040 0|0,  +0.095,  +0.376,  +0.023^1,  +0.000,  +0.381,  +0.077^2,  +0.307,  -2.008,  +0.588^3,  -0.088,  +0.025,  -0.180^4,+190.018, +25.894,  +0.023, +23.000^5, +25.894,+190.018,+158.169,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:46:50:040 0|0,  +0.018,  +0.178,  -0.002^1,  +0.000,  +0.254,  +0.102^2,  -0.303,  -1.093,  -0.083^3,  -0.197,  -0.105,  +0.098^4,+189.941, +26.821,  -0.002,+127.000^5, +26.821,+189.941,+158.098,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.448   35.365
02-22-2014 12:46:49:040 0|0,  +0.193,  -0.070,  +0.015^1,  +0.000,  -0.000,  +0.135^2,  -0.059,  -0.117,  -0.266^3,  -0.336,  +0.066,  +0.154^4,+190.115, +27.325,  +0.015, +45.000^5, +27.325,+190.115,+158.268,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:46:48:040 0|0,  +0.321,  -0.082,  +0.009^1,  +0.000,  +0.087,  +0.116^2,  -1.523,  -0.056,  +0.832^3,  -0.173,  +0.097,  -0.208^4,+190.634, +27.313,  +0.009, +81.000^5, +27.313,+190.634,+158.768,1506^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.448   35.365
02-22-2014 12:46:47:040 0|0,  +0.471,  -0.084,  -0.001^1,  +0.000,  +0.115,  +0.126^2,  -2.499,  -0.178,  +1.015^3,  -0.142,  +0.065,  -0.028^4,+192.067, +27.310,  -0.001, +99.000^5, +27.310,+192.067,+160.196,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:46:46:040 0|0,  +0.526,  -0.094,  -0.007^1,  +0.000,  +0.174,  +0.132^2,  -2.560,  +0.127,  +0.893^3,  -0.335,  +0.059,  -0.157^4,+194.129, +27.301,  -0.007, +95.000^5, +27.301,+194.129,+162.294,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.513   35.365
