10-04-2013 08:23:00:270, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:23:00:210, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:22:57:460, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:22:57:250, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:22:56:820, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:22:55:820, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:22:55:380, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:22:54:960, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:22:54:730, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:22:54:290, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:22:53:050, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:22:52:900, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:22:51:690, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:22:51:570, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:22:51:040, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:22:50:790, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:22:48:120, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:22:47:750, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:22:47:510, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:22:47:080, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:22:46:720, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:22:46:280, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:22:46:190, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:22:45:510, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
